127.0.0.1, 2016-10-21 16:44:20, GET, /PolarisProject/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.021065
127.0.0.1, 2016-10-21 16:44:20, GET, /PolarisProject/static/js/share.js, HTTP/1.1, 200, 0.001111
127.0.0.1, 2016-10-21 16:44:20, GET, /PolarisProject/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001439
127.0.0.1, 2016-10-21 16:44:20, GET, /PolarisProject/static/images/background.jpg, HTTP/1.1, 200, 0.004030
127.0.0.1, 2016-10-21 16:44:20, GET, /PolarisProject/static/images/twitter.png, HTTP/1.1, 200, 0.001147
127.0.0.1, 2016-10-21 16:44:20, GET, /PolarisProject/static/images/facebook.png, HTTP/1.1, 200, 0.001118
127.0.0.1, 2016-10-21 16:44:20, GET, /PolarisProject/static/images/gplus-32.png, HTTP/1.1, 200, 0.001188
127.0.0.1, 2016-10-21 16:44:20, GET, /PolarisProject/static/images/favicon.ico, HTTP/1.1, 200, 0.001134
127.0.0.1, 2016-10-21 16:44:38, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.080255
127.0.0.1, 2016-10-21 16:44:38, GET, /favicon.ico, HTTP/1.1, 400, 0.012416
127.0.0.1, 2016-10-21 16:44:42, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.065237
127.0.0.1, 2016-10-21 16:44:43, GET, /favicon.ico, HTTP/1.1, 400, 0.009752
127.0.0.1, 2016-10-21 16:49:47, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.068564
127.0.0.1, 2016-10-21 16:49:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000914
127.0.0.1, 2016-10-21 16:49:50, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.069205
127.0.0.1, 2016-10-21 16:49:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001044
127.0.0.1, 2016-10-21 16:49:52, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.070229
127.0.0.1, 2016-10-21 16:49:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000899
127.0.0.1, 2016-10-21 16:51:10, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.063547
127.0.0.1, 2016-10-21 16:51:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001517
127.0.0.1, 2016-10-21 16:52:50, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.067506
127.0.0.1, 2016-10-21 16:52:50, GET, /favicon.ico, HTTP/1.1, 400, 0.011372
127.0.0.1, 2016-10-21 17:04:57, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.166374
